"Contract Unit Id","Order Id","Return Receivable Tracking ID","Return Receivable State","Return Receivable Creation Reason","Return Receivable Initiation Date"
"1a33377d-7a49-4f0b-9d9f-d0d1ebe6bb29#63478610-c3db-4cac-a14b-286ad372df30","111-5763268-7359464","47633093711","Closed","AdvancedRefund","2025-10-03T17:06:11.503Z"
"8f105c4b-4331-42de-bb80-5ac319218673#ced512dc-a89b-4e4e-b9f0-a9612f313fdf","111-7160184-6597836","47596935401","Closed","AdvancedRefund","2025-10-02T05:16:05.495Z"
"6ecc5597-6af2-4778-9226-c6bc4298a273#b21ceed8-7e49-4465-bdfb-c00b18b6500a","111-7036928-7712233","45342449091","Closed","AdvancedRefund","2025-07-15T23:13:03.169Z"
"40972a28-2d95-4bc2-9212-ba3cf98bd843#cb30b764-b0d1-47fc-a69a-7d0108bcd4e3","111-0072238-7260246","45070367871","Closed","AdvancedRefund","2025-07-07T17:48:42.688Z"
"e29b30c6-b3e1-4a76-9cfd-cfe7ef2d3dbc#61bd9374-8278-49db-b368-d990ec8a63f5","111-2924240-2422614","40842919301","Closed","AdvancedRefund","2025-01-23T19:41:28.478Z"
"a8495d98-8c1e-4ef1-95b5-f6a2ff4c56da#10c8c5f8-7028-46fd-9090-77c941edd263","111-8830451-0514641","40842888261","Closed","AdvancedRefund","2025-01-23T19:40:39.021Z"
"cf39113a-d58d-4b16-8151-3ef96528d766#2852541c-773d-4b92-81f6-c8e22d0fdd2d","111-2303924-2219437","40842837231","Closed","AdvancedRefund","2025-01-23T19:39:37.576Z"
"44e65982-3b3d-442f-84fa-2a8a29cadc47#d189d5ca-eefd-49ad-b6c9-a69a13a0440b","113-4283183-8590624","37812964761","Closed","AdvancedRefund","2024-11-21T02:04:53.995Z"
"1907034d-9137-44fb-b33a-c9766664f887#1d529db5-32fc-454d-b494-546654f44a96","111-3427885-7857864","37812374631","Expired","AdvancedRefund","2024-11-21T01:51:56.819Z"
"0861bdd1-152c-4da1-945a-b0f4100c69ee#c7e7f9fd-d779-4717-812c-0dc732fe1e55","113-4819410-1888228","37437023921","Closed","AdvancedRefund","2024-11-07T21:36:17.753Z"
"30301e02-1f53-4231-be0f-335333370305#798bba39-d2d4-41f6-9001-d02ea7259f11","114-6546541-0461069","37437027411","Closed","AdvancedRefund","2024-11-07T21:35:58.834Z"
"4f4c33f5-c260-4488-8a6a-2733e6c05d87#b40f4dc2-ece8-4f92-a608-b408c27e5fe2","113-1586276-3329829","37437007151","Closed","AdvancedRefund","2024-11-07T21:35:05.558Z"
"0fc3b7aa-c5b6-4990-8117-ea351bea2aef#200f585e-d1f2-4871-91d9-991d0f1373e6","114-6308112-1652249","37436959681","Closed","AdvancedRefund","2024-11-07T21:34:08.001Z"
"14245ae2-d2c4-444d-a5cd-86ae4b4daf0e#e44b2134-6530-4eb5-a4f8-ac668a8783f5","113-3614670-0841813","37436883801","Closed","AdvancedRefund","2024-11-07T21:32:26.897Z"
"c9727dfd-bd37-4998-9f23-10f5adcb7c3b#3317a47c-7030-40e3-b66b-6cd00e007d40","113-9617991-2914611","36140744421","Expired","AdvancedRefund","2024-09-17T12:33:58.102Z"
"f03d2696-e400-4f7d-bfa7-e7e1858834c3#db5b5a0d-8e2d-4aca-9a16-8fc0491c029c","114-1396894-0528212","36140652521","Closed","AdvancedRefund","2024-09-17T12:17:38.823Z"
"6f4d4f3d-0469-4500-8b59-0a6b3740521d#0b0bcc3a-fe84-4362-a623-6a764366cad9","113-8973258-7193017","36138982041","Closed","ReplacementOrder","2024-09-17T02:16:31.227Z"
"2fe7a425-486b-47b4-be6d-7ac28382be9c#2303b91d-0968-4b32-b78d-bc3d2eba8162","113-6030319-5048237","34052891591","Closed","AdvancedRefund","2024-06-24T19:34:37.791Z"
"c7759d37-222c-4cf7-b883-c91cc9b8c6d4#2d8f48c6-0786-4a36-9200-7f9149198d5a","113-7931118-2622661","33342212571","Closed","ReplacementOrder","2024-05-26T23:58:25.291Z"
"9c925f95-cfbd-4c52-9b0e-30523a14f33d#5c9c1cc0-1b44-4bc6-9fbf-59e94b27b4bf","113-9606063-5272214","31641214071","Closed","AdvancedRefund","2024-03-13T15:39:42.043Z"
"a4c115b4-7f13-424d-8345-b507488f53d6#e180d3db-2fd1-4182-a5d0-867849d35d0c","114-5506998-9081062","29296996491","Closed","AdvancedRefund","2023-12-06T02:34:56.328Z"
"9e5d7f82-5f51-4a4f-9225-4a215c011e4d#d6117960-4ec0-4883-b950-e7c706314878","113-7191580-3135409","28105040761","Closed","AdvancedRefund","2023-10-17T21:58:41.371Z"
"1af06e3c-52ad-44ec-8650-dd5a52a15480#22a13c6c-0360-4c4f-a98d-de21a8e8e94e","114-1572856-2591455","28039864421","Closed","ReplacementOrder","2023-10-15T00:20:55.365Z"
"c91afdff-a9f9-41eb-9e2f-884193853b5e#4ef04bf0-8802-4102-966c-516588c96459","112-3896058-5880221","26822538741","Closed","AdvancedRefund","2023-08-18T20:43:36.382Z"
"b36d0559-a124-480e-bc5d-19dffe4d5edf#f72934fd-6811-4852-800a-0624e4f633d3","112-8831750-4418656","25438734171","Closed","AdvancedRefund","2023-06-17T21:55:35.272Z"
"46f3ef7a-0af4-4a6d-97e2-f943407f0ce8#31193fbc-03ea-417f-97bf-de11fc4b3e5c","114-6633580-2889063","25292074831","Closed","AdvancedRefund","2023-06-10T21:47:38.534Z"
"0835767c-48ed-4bc0-b2fa-9894f99c59b5#a878fb2d-0bc1-4225-8925-bacad0311cdd","114-8646356-2681065","24859175891","Closed","AdvancedRefund","2023-05-21T01:15:18.429Z"
"1e080304-d704-449f-8eb7-a3acb47e7ddc#1273f38f-53d2-4327-ad8a-a18dafcc7a14","114-5879989-7573066","24859060311","Closed","AdvancedRefund","2023-05-21T00:57:47.692Z"
"3e936187-c396-4c0f-bd05-50fa5b14f71f#f37508c4-246a-4227-b60e-75ed55b61aee","111-2072597-2929014","24136764881","Closed","AdvancedRefund","2023-04-15T00:43:27.344Z"
"3e936187-c396-4c0f-bd05-50fa5b14f71f#612b9fad-e3d3-48f3-9481-f2580d5a1c58","111-2072597-2929014","24136764871","Closed","AdvancedRefund","2023-04-15T00:43:27.122Z"
"3e936187-c396-4c0f-bd05-50fa5b14f71f#332efb09-6869-45e3-a9d5-e12b2a62d5a9","111-2072597-2929014","24136764861","Closed","AdvancedRefund","2023-04-15T00:43:26.958Z"
"7682a8e7-8342-4e7f-9385-38056c7c462a#2b4aa2ed-a633-4c93-a7d9-295f51fa0692","111-2190064-4064256","23353463481","Closed","AdvancedRefund","2023-03-04T21:55:44.324Z"
"9911fe1e-2d1a-4f0c-92f0-35dda71138b8#ee12745a-d347-4498-8db3-f03128486146","112-6900886-3529839","23178138591","Closed","AdvancedRefund","2023-02-23T01:08:13.880Z"
"9911fe1e-2d1a-4f0c-92f0-35dda71138b8#989af94a-b844-4035-8610-9fc6e7c6b9a2","112-4294460-8161821","23178143381","Closed","AdvancedRefund","2023-02-23T01:08:13.678Z"
"9911fe1e-2d1a-4f0c-92f0-35dda71138b8#87b540dc-1fd8-4d00-8c07-52bd12dd3d75","111-9253012-6164251","23178148241","Closed","AdvancedRefund","2023-02-23T01:08:13.568Z"
"ee6a01c6-948a-4bd2-af7f-19e0c157010f#be635294-7f3c-4529-8abc-47dd9cca3826","111-5503661-5220243","22859842291","Closed","AdvancedRefund","2023-02-04T22:08:11.152Z"
"47164c15-a75a-4807-8b31-ecd18ad36312#f83c378e-1b0a-4436-8cc8-8c886d54d271","111-7261580-8733816","22859348231","Closed","AdvancedRefund","2023-02-04T21:48:20.940Z"
"47ff806e-62e8-4dcb-add6-0bc321d227f8#a7c4121b-20f8-449e-8332-a82552546548","112-6741148-4342616","16678739611","Closed","AdvancedRefund","2022-03-19T03:51:25.213Z"
"0b0a886f-0345-49e9-9f92-bb9294c83c52#d342cc18-e1a0-4abd-9a0e-99131c160e78","112-1023722-4507429","16676909821","Closed","AdvancedRefund","2022-03-19T00:48:21.091Z"
"0b0a886f-0345-49e9-9f92-bb9294c83c52#834d8b1d-ffe6-4616-86ab-4aed56acbfe0","112-1023722-4507429","16676909811","Closed","AdvancedRefund","2022-03-19T00:48:20.918Z"
"e278a151-e497-4e30-84de-9866921e766c#ea135573-e6cb-406d-8134-593ec9847115","112-8066021-6172221","16676900911","Closed","AdvancedRefund","2022-03-19T00:48:02.939Z"
"65b9661c-9225-43b7-b7f8-1219ae785cf5#8f9288bf-4591-409d-93be-d831851886c6","112-5052866-6500269","15315320131","Closed","AdvancedRefund","2021-12-29T01:07:40.845Z"
"7ae61ac2-7852-428a-82eb-b54c147584a3#56bcde25-deaa-437d-9178-56907c97e7bb","112-3238077-4781028","14054479891","Expired","InstantRefund","2021-10-14T17:50:45.143Z"
"69e11885-8e5c-4954-9852-65e84a9d4b00#867c7c5d-d7de-48d3-a6b7-02e7ff35e2ab","114-3158321-9053854","10577698551","Closed","AdvancedRefund","2021-01-26T23:44:10.406Z"
"9029dd06-10d4-4c03-b4c6-0021ffb18bf2#70b83465-cb31-430f-b791-c930efd04be9","111-4288965-4925845","10577683931","Closed","AdvancedRefund","2021-01-26T23:44:02.468Z"
"5da1665b-d82c-494c-8dff-0fca81abd658#aabc12c0-0c9f-4c12-9a25-de47c7ba626c","113-0998670-3260212","9644531101","Closed","AdvancedRefund","2020-11-18T16:21:47.328Z"
"8c8763d1-ba48-40df-898a-a5ccfa05876f#d0bb07da-2063-454b-b37f-5082edc139ab","114-8419392-5551400","7569341671","Expired","ReplacementOrder","2020-04-02T19:02:31.730Z"
"0f6977ae-adf4-492f-b6ef-aac092f76c8f#cb0379e0-4371-4f57-aa3a-fd13051dc6ad","114-9719332-4275451","6236966971","Closed","AdvancedRefund","2019-10-31T22:55:30.973Z"
"0677a51c-2dcc-4958-9c50-e158b2b84dad#be7deb0c-0737-4a72-bb22-e34bd1907f76","112-4543750-0438662","5301033241","Closed","AdvancedRefund","2019-06-23T20:11:49.087Z"
"7a61330e-ad0f-4325-b2aa-a623f0fd0011#ce9de41e-cea1-4ecb-ba19-94a4868ec3e1","112-2031310-1325019","4713679271","Closed","AdvancedRefund","2019-03-03T02:06:20.814Z"
"61b32578-feb0-4d6b-b80a-37376605a689#15c4fde7-7918-4a05-ad4d-4ab4904baa85","111-2928578-2160263","3741396841","Closed","AdvancedRefund","2018-08-10T01:40:20.752Z"
"61b32578-feb0-4d6b-b80a-37376605a689#02a6cce3-ec83-4af6-b964-9028c11defa8","111-2928578-2160263","3741396831","Closed","AdvancedRefund","2018-08-10T01:40:20.535Z"
"c6fdf46a-c425-40f0-bb81-9ed05801b227#4549d254-909c-49d4-a5ae-ebf08beff6bb","111-1435210-7481012","2460844691","Closed","AdvancedRefund","2017-08-16T00:34:23.108Z"
