Date,Description,Amount
2024-01-15,Whole Foods Market,-67.23
2024-01-15,Starbucks Coffee,-5.47
2024-01-15,Shell Gas Station,-45.00
2024-01-16,Netflix Subscription,-15.99
2024-01-16,Amazon Purchase,-89.99
2024-01-16,Uber Ride,-12.50
2024-01-17,Chipotle Mexican Grill,-11.25
2024-01-17,CVS Pharmacy,-24.50
2024-01-17,Target,-156.78
2024-01-18,Paycheck,2500.00
2024-01-18,Venmo from Friend,25.00
2024-01-19,Spotify Premium,-9.99
2024-01-19,LA Fitness,-49.99
2024-01-19,Panera Bread,-13.45
2024-01-20,Trader Joe's,-45.67
2024-01-20,Comcast Internet,-79.99
2024-01-21,Delta Airlines,-350.00
2024-01-21,Hotel Booking,-189.50
2024-01-22,AT&T Phone Bill,-65.00
2024-01-22,Best Buy Electronics,-249.99
